datetime,station,PM2.5,O3,NO2,TEMP,RH,WS
2025-01-01 00:00:00,Zhongli,14.3,24.8,20.8,13.0,78.5,1.6
2025-01-01 01:00:00,Zhongli,13.3,25.9,21.6,14.0,75.3,3.6
2025-01-01 02:00:00,Zhongli,9.1,15.4,27.2,13.0,97.9,1.2
2025-01-01 03:00:00,Zhongli,14.0,18.9,29.8,13.2,81.4,1.0
2025-01-01 04:00:00,Zhongli,13.9,6.6,27.8,13.4,79.0,1.4
2025-01-01 05:00:00,Zhongli,24.4,13.6,26.4,13.1,83.5,1.6
2025-01-01 06:00:00,Zhongli,24.0,12.7,28.8,13.3,71.6,1.8
2025-01-01 07:00:00,Zhongli,32.7,18.9,20.9,14.1,78.4,1.6
2025-01-01 08:00:00,Zhongli,30.1,15.7,24.0,15.8,74.3,2.1
2025-01-01 09:00:00,Zhongli,34.9,22.0,25.1,20.6,70.7,0.7
2025-01-01 10:00:00,Zhongli,37.8,25.1,23.0,19.3,59.5,1.9
2025-01-01 11:00:00,Zhongli,34.5,28.3,23.1,23.4,52.5,0.9
2025-01-01 12:00:00,Zhongli,38.3,41.5,22.6,21.6,57.9,0.8
2025-01-01 13:00:00,Zhongli,35.4,40.7,13.8,20.5,59.3,1.3
2025-01-01 14:00:00,Zhongli,37.1,40.9,19.5,19.4,60.1,1.4
2025-01-01 15:00:00,Zhongli,45.8,47.1,21.2,19.4,59.8,1.1
2025-01-01 16:00:00,Zhongli,34.3,53.4,13.3,19.1,58.0,2.1
2025-01-01 17:00:00,Zhongli,25.0,44.2,16.9,17.1,68.5,1.1
2025-01-01 18:00:00,Zhongli,-9999.0,47.5,13.9,19.6,64.4,1.4
2025-01-01 19:00:00,Zhongli,33.2,45.4,16.7,20.3,80.9,1.1
2025-01-01 20:00:00,Zhongli,8.3,49.4,18.9,18.3,71.2,1.8
2025-01-01 21:00:00,Zhongli,17.4,35.8,16.6,14.3,75.2,1.0
2025-01-01 22:00:00,Zhongli,17.1,46.1,18.6,13.6,79.1,1.3
2025-01-01 23:00:00,Zhongli,23.9,30.7,20.7,13.1,83.2,1.3
2025-01-02 00:00:00,Zhongli,19.3,24.8,18.3,13.1,83.3,1.6
2025-01-02 01:00:00,Zhongli,13.2,23.8,24.2,14.0,88.8,1.9
2025-01-02 02:00:00,Zhongli,6.3,14.6,14.9,12.9,80.9,2.3
2025-01-02 03:00:00,Zhongli,15.3,14.7,24.3,12.9,87.9,1.4
2025-01-02 04:00:00,Zhongli,19.3,16.8,22.7,12.4,84.5,3.0
2025-01-02 05:00:00,Zhongli,21.8,13.5,18.6,13.9,83.8,1.8
2025-01-02 06:00:00,Zhongli,18.5,17.5,30.2,14.6,84.9,0.5
2025-01-02 07:00:00,Zhongli,27.2,21.9,27.5,17.0,66.5,1.9
2025-01-02 08:00:00,Zhongli,31.0,21.8,22.6,17.6,60.3,1.6
2025-01-02 09:00:00,Zhongli,21.6,16.4,24.0,19.7,65.7,2.6
2025-01-02 10:00:00,Zhongli,27.3,25.8,20.8,19.2,57.0,1.0
2025-01-02 11:00:00,Zhongli,19.0,37.8,21.6,20.1,54.6,1.7
2025-01-02 12:00:00,Zhongli,27.6,34.1,20.1,19.2,61.3,2.4
2025-01-02 13:00:00,Zhongli,34.2,35.1,18.4,21.1,54.1,1.0
2025-01-02 14:00:00,Zhongli,34.9,45.7,12.4,16.4,59.3,2.0
2025-01-02 15:00:00,Zhongli,25.2,42.6,10.0,21.9,53.9,2.5
2025-01-02 16:00:00,Zhongli,32.4,53.7,13.1,19.6,52.3,1.3
2025-01-02 17:00:00,Zhongli,22.6,54.2,13.5,18.3,57.4,2.7
2025-01-02 18:00:00,Zhongli,25.6,45.6,13.4,19.0,61.2,1.6
